date;time;Trade_PnL;Trade_R;Fee;Cashflow;Dividend;Equity;Cash;Total_Assets;Drawdown;Sum_Deposit;Sum_Withdrawal;Sum_Dividend;Sum_Fee;Trade_Count;Open_Positions;event;symbol;quantity;price;ticker;ordertyp
2026-02-11;20:54:44;0.00;0;2.00;0.00;0.00;1015663.50;1015533.53;467.95;0.00;0.00;0.00;0.00;0.00;0;2;buy;NVO;1.00;11.00;NVO;LMT
2026-02-11;21:26:55;0.00;0;2.00;0.00;0.00;1015662.62;1015609.51;191.01;0.00;0.00;0.00;0.00;0.00;0;1;buy;AAPL;1.00;0.00;AAPL;MKT
2026-02-11;21:28:35;0.00;0;2.00;0.00;0.00;1015662.62;1015609.51;191.01;0.00;0.00;0.00;0.00;0.00;0;1;sell;NVDA;1.00;0.00;NVDA;MKT
2026-02-11;21:31:18;0.00;0;2.00;0.00;0.00;1015661.23;1015584.51;275.80;0.00;0.00;0.00;0.00;0.00;0;1;buy;AAPL;1.00;0.00;AAPL;MKT
2026-02-11;21:32:03;0.00;0;2.00;0.00;0.00;1015660.62;1015507.11;552.14;0.00;0.00;0.00;0.00;0.00;0;1;buy;AAPL;1.00;0.00;AAPL;MKT
2026-02-11;21:32:03;0.00;0;2.00;0.00;0.00;1015660.62;1015507.11;552.14;0.00;0.00;0.00;0.00;0.00;0;1;sell;AAPL;1.00;0.00;AAPL;MKT
2026-02-11;21:32:10;0.00;0;2.00;0.00;0.00;1015659.12;1015505.47;552.40;0.00;0.00;0.00;0.00;0.00;0;1;buy;AAPL;1.00;0.00;AAPL;MKT
2026-02-11;21:32:11;0.00;0;2.00;0.00;0.00;1015659.12;1015505.47;552.40;0.00;0.00;0.00;0.00;0.00;0;1;sell;AAPL;1.00;0.00;AAPL;MKT
2026-02-11;21:32:27;0.00;0;2.00;0.00;0.00;1015657.43;1015503.72;552.44;0.00;0.00;0.00;0.00;0.00;0;1;buy;AAPL;1.00;0.00;AAPL;MKT
2026-02-11;21:32:29;0.00;0;2.00;0.00;0.00;1015657.43;1015503.72;552.44;0.00;0.00;0.00;0.00;0.00;0;1;sell;AAPL;1.00;0.00;AAPL;MKT
2026-02-11;21:33:05;0.00;0;2.00;0.00;0.00;1015655.01;1015577.97;276.29;0.00;0.00;0.00;0.00;0.00;0;1;buy;AAPL;1.00;0.00;AAPL;MKT
2026-02-11;21:34:12;0.00;0;2.00;0.00;0.00;1015654.09;1015500.26;552.50;0.00;0.00;0.00;0.00;0.00;0;1;buy;AAPL;1.00;0.00;AAPL;MKT
2026-02-11;22:07:20;0.00;0;2.00;0.00;0.00;1015648.21;1015571.10;275.70;0.00;0.00;0.00;0.00;0.00;0;1;buy;NVO;2.00;222.00;NVO;STP LMT
2026-02-12;20:11:56;0.00;0;2.00;0.00;0.00;1015676.80;1015603.23;261.51;0.00;0.00;0.00;0.00;0.00;0;1;sell;AAPL;1.00;0.00;AAPL;MKT
2026-02-12;20:16:46;0.00;0;2.00;0.00;0.00;1015676.80;1015603.23;261.51;0.00;0.00;0.00;0.00;0.00;0;1;sell;AAPL;1.00;0.00;AAPL;MKT
2026-02-12;20:18:51;0.00;0;2.00;0.00;0.00;1015675.04;1015595.66;261.85;0.00;0.00;0.00;0.00;0.00;0;1;sell;AAPL;1.00;0.00;AAPL;MKT
2026-02-12;20:20:20;0.00;0;2.00;0.00;0.00;1015675.04;1015595.66;261.85;0.00;0.00;0.00;0.00;0.00;0;1;sell;AAPL;1.00;0.00;AAPL;MKT
2026-02-12;20:24:06;0.00;0;2.00;0.00;0.00;1015672.95;1015436.44;785.83;0.00;0.00;0.00;0.00;0.00;0;1;buy;AAPL;3.00;0.00;AAPL;MKT
2026-02-12;20:24:44;0.00;0;2.00;0.00;0.00;1015672.95;1015436.44;785.83;0.00;0.00;0.00;0.00;0.00;0;1;buy;AAPL;3.00;0.00;AAPL;MKT
2026-02-12;20:27:47;0.00;0;2.00;0.00;0.00;1015670.00;1015450.19;786.74;0.00;0.00;0.00;0.00;0.00;0;1;sell;AAPL;3.00;0.00;AAPL;MKT
2026-02-12;20:32:40;0.00;0;2.00;0.00;0.00;1015668.79;1015667.72;0.00;0.00;0.00;0.00;0.00;0.00;0;0;sell;AAPL;1.00;0.00;AAPL;MKT
2026-02-12;20:33:28;0.00;0;2.00;0.00;0.00;1015667.94;1015588.29;262.10;0.00;0.00;0.00;0.00;0.00;0;1;sell;AAPL;1.00;0.00;AAPL;MKT
2026-02-12;20:34:20;0.00;0;2.00;0.00;0.00;1015667.32;1015509.27;523.65;0.00;0.00;0.00;0.00;0.00;0;1;sell;AAPL;1.00;0.00;AAPL;MKT
2026-02-12;20:35:06;0.00;0;2.00;0.00;0.00;1015666.95;1015430.69;784.61;0.00;0.00;0.00;0.00;0.00;0;1;sell;AAPL;1.00;0.00;AAPL;MKT
2026-02-12;20:38:42;0.00;0;2.00;0.00;0.00;1015664.90;1015349.70;1047.64;0.00;0.00;0.00;0.00;0.00;0;1;buy;4;4.00;0.00;4;MKT
2026-02-12;20:55:59;0.00;0;2.00;0.00;0.00;1015665.54;1015350.64;1046.88;0.00;0.00;0.00;0.00;0.00;0;1;buy;AAPL;4.00;0.00;AAPL;MKT
2026-02-12;21:01:35;0.00;0;2.00;0.00;0.00;1015664.17;1015662.97;0.00;0.00;0.00;0.00;0.00;0.00;0;0;buy;AAPL;1.00;0.00;AAPL;MKT
2026-02-12;21:02:09;0.00;0;2.00;0.00;0.00;1015663.33;1015589.26;262.00;0.00;0.00;0.00;0.00;0.00;0;1;sell;AAPL;1.00;0.00;AAPL;MKT
2026-02-12;21:04:28;0.00;0;2.00;0.00;0.00;1015662.53;1015661.28;0.00;0.00;0.00;0.00;0.00;0.00;0;0;buy;AAPL;1.00;0.00;AAPL;MKT
2026-02-12;21:05:03;0.00;0;2.00;0.00;0.00;1015661.68;1015587.53;262.07;0.00;0.00;0.00;0.00;0.00;0;1;sell;AAPL;1.00;0.00;AAPL;MKT
2026-02-12;21:18:36;0.00;0;2.00;0.00;0.00;1015660.98;1015659.69;0.00;0.00;0.00;0.00;0.00;0.00;0;0;buy;AAPL;365.00;278.12;AAPL;LMT
2026-02-12;21:21:26;0.00;0;2.00;0.00;0.00;1015660.98;1015659.69;0.00;0.00;0.00;0.00;0.00;0.00;0;0;buy;AAPL;37.00;270.00;AAPL;LMT
2026-02-12;21:46:43;0.00;0;2.00;0.00;0.00;1015660.99;1015659.69;0.00;0.00;0.00;0.00;0.00;0.00;0;0;buy;AAPL;1.00;278.12;AAPL;LMT
2026-02-12;21:48:35;0.00;0;2.00;0.00;0.00;1015660.98;1015659.69;0.00;0.00;0.00;0.00;0.00;0.00;0;0;buy;AAPL;1.00;278.12;AAPL;LMT
2026-02-12;21:49:04;0.00;0;2.00;0.00;0.00;1015660.98;1015659.69;0.00;0.00;0.00;0.00;0.00;0.00;0;0;buy;AAPL;1.00;0.00;AAPL;MKT
2026-02-12;21:50:53;0.00;0;2.00;0.00;0.00;1015660.14;1015586.43;260.35;0.00;0.00;0.00;0.00;0.00;0;1;sell;AAPL;1.00;0.00;AAPL;MKT
2026-02-12;21:58:06;0.00;0;2.00;0.00;0.00;1015659.48;1015658.14;0.00;0.00;0.00;0.00;0.00;0.00;0;0;buy;AAPL;1.00;278.12;AAPL;LMT
2026-02-12;22:05:28;0.00;0;2.00;0.00;0.00;1015659.48;1015658.14;0.00;0.00;0.00;0.00;0.00;0.00;0;0;buy;ASTS;1.00;82.22;ASTS;LMT
2026-02-12;22:10:12;0.00;0;2.00;0.00;0.00;1015659.48;1015658.14;0.00;0.00;0.00;0.00;0.00;0.00;0;0;buy;NVDA;50.00;185.41;NVDA;LMT
2026-02-12;22:12:16;0.00;0;2.00;0.00;0.00;1015659.49;1015658.14;0.00;0.00;0.00;0.00;0.00;0.00;0;0;buy;AAPL;1.00;0.00;AAPL;MKT
2026-02-12;22:17:58;0.00;0;2.00;0.00;0.00;1015659.48;1015658.14;0.00;0.00;0.00;0.00;0.00;0.00;0;0;buy;ONDS;2.00;9.69;ONDS;LMT
2026-02-12;22:19:09;0.00;0;2.00;0.00;0.00;1015659.48;1015658.14;0.00;0.00;0.00;0.00;0.00;0.00;0;0;buy;ONDS;1.00;9.69;ONDS;LMT
2026-02-12;22:21:26;0.00;0;2.00;0.00;0.00;1015659.48;1015658.14;0.00;0.00;0.00;0.00;0.00;0.00;0;0;buy;AAPL;1.00;0.00;AAPL;MKT
