date;time;Trade_PnL;Trade_R;Fee;Cashflow;Dividend;Equity;Cash;Total_Assets;Drawdown;Sum_Deposit;Sum_Withdrawal;Sum_Dividend;Sum_Fee;Trade_Count;Open_Positions;event;symbol;quantity;price
2024-10-23;00:00:00;0.00;0;0.00;50.00;0.00;50.00;50.00;0.00;0.00;50.00;0.00;0.00;0.00;0;0;deposit;;50.00;1.00
2024-10-30;00:00:00;0.00;0;0.00;1000.00;0.00;1050.00;1050.00;0.00;0.00;1050.00;0.00;0.00;0.00;0;0;deposit;;1000.00;1.00
2025-01-06;00:00:00;0.00;0;0.00;-1040.00;0.00;10.00;10.00;0.00;0.00;1050.00;1040.00;0.00;0.00;0;0;withdrawal;;1040.00;1.00
2025-02-05;00:00:00;0.00;0;0.00;3000.00;0.00;3010.00;3010.00;0.00;0.00;4050.00;1040.00;0.00;0.00;0;0;deposit;;3000.00;1.00
2025-02-05;15:53:56;0.00;0;2.00;0.00;0.00;3008.00;2542.70;465.30;-2.00;4050.00;1040.00;0.00;2.00;0;1;buy;OPFI;30.00;15.51
2025-02-05;19:08:44;0.00;0;2.50;0.00;0.00;3005.50;2155.20;850.30;-4.50;4050.00;1040.00;0.00;4.50;0;2;buy;CLDI;250.00;1.54
2025-02-06;10:29:04;0.00;0;2.00;0.00;0.00;3003.50;1592.40;1411.10;-6.50;4050.00;1040.00;0.00;6.50;0;3;buy;ORLA;80.00;7.01
2025-02-07;11:28:55;0.00;0;2.00;0.00;0.00;3001.50;965.20;2036.30;-8.50;4050.00;1040.00;0.00;8.50;0;4;buy;BABA;6.00;104.20
2025-02-10;09:30:14;0.00;0;2.00;0.00;0.00;2999.50;437.74;2561.76;-10.50;4050.00;1040.00;0.00;10.50;0;5;buy;MGNI;26.00;20.21
2025-02-10;11:38:27;0.00;0;2.00;0.00;0.00;2997.50;-125.24;3122.74;-12.50;4050.00;1040.00;0.00;12.50;0;6;buy;NBIS;14.00;40.07
2025-02-11;00:00:00;0.00;0;0.00;3000.00;0.00;5997.50;2874.76;3122.74;-12.50;7050.00;1040.00;0.00;12.50;0;6;deposit;;3000.00;1.00
2025-02-11;12:41:46;0.00;0;2.00;0.00;0.00;5995.50;2814.46;3181.04;-14.50;7050.00;1040.00;0.00;14.50;0;7;buy;SLQT;10.00;5.83
2025-02-11;12:51:14;0.00;0;2.00;0.00;0.00;5993.50;2666.46;3327.04;-16.50;7050.00;1040.00;0.00;16.50;0;8;buy;ORMP;50.00;2.92
2025-02-11;13:39:09;-15.50;0;2.00;0.00;0.00;5980.00;2798.96;3181.04;-30.00;7050.00;1040.00;0.00;18.50;1;7;sell;ORMP;50.00;2.69
2025-02-12;15:37:19;0.00;0;2.00;0.00;0.00;5978.00;2111.04;3866.96;-32.00;7050.00;1040.00;0.00;20.50;1;8;buy;TSLA;2.00;342.96
2025-02-13;09:38:55;0.00;0;2.00;0.00;0.00;5976.00;1394.98;4581.02;-34.00;7050.00;1040.00;0.00;22.50;1;9;buy;TEM;9.00;79.34
2025-02-13;14:32:49;0.00;0;2.00;0.00;0.00;5974.00;834.74;5139.26;-36.00;7050.00;1040.00;0.00;24.50;1;10;buy;TMDX;8.00;69.78
2025-02-13;15:54:17;0.00;0;2.00;0.00;0.00;5972.00;224.34;5747.66;-38.00;7050.00;1040.00;0.00;26.50;1;11;buy;SOFI;40.00;15.21
2025-02-13;15:59:38;0.00;0;2.00;0.00;0.00;5970.00;-73.76;6043.76;-40.00;7050.00;1040.00;0.00;28.50;1;12;buy;HIMS;5.00;59.22
2025-02-14;09:36:10;0.00;0;2.00;0.00;0.00;5968.00;-399.04;6367.04;-42.00;7050.00;1040.00;0.00;30.50;1;13;buy;WRD;8.00;40.41
2025-02-14;09:50:20;0.00;0;2.00;0.00;0.00;5966.00;-502.35;6468.35;-44.00;7050.00;1040.00;0.00;32.50;1;13;buy;WRD;3.00;33.77
2025-02-14;09:53:22;17.50;0;2.00;0.00;0.00;5985.50;203.07;5782.43;-24.50;7050.00;1040.00;0.00;34.50;2;12;sell;TSLA;2.00;353.71
2025-02-14;10:02:32;22.56;0;2.00;0.00;0.00;6010.06;785.87;5224.19;0.00;7050.00;1040.00;0.00;36.50;3;11;sell;TMDX;8.00;73.10
2025-02-14;10:10:42;0.00;0;2.00;0.00;0.00;6008.06;678.87;5329.19;-2.00;7050.00;1040.00;0.00;38.50;3;12;buy;INVZ;100.00;1.05
2025-02-14;10:42:10;-68.80;0;2.00;0.00;0.00;5941.26;1077.37;4863.89;-68.80;7050.00;1040.00;0.00;40.50;4;11;sell;OPFI;30.00;13.35
2025-02-14;10:42:51;0.00;0;2.00;0.00;0.00;5939.26;602.93;5336.33;-70.80;7050.00;1040.00;0.00;42.50;4;12;buy;DAVE;4.00;118.11
2025-02-14;10:43:30;0.00;0;2.00;0.00;0.00;5937.26;120.93;5816.33;-72.80;7050.00;1040.00;0.00;44.50;4;12;buy;SOFI;30.00;16.00
2025-02-14;11:16:35;0.00;0;2.00;0.00;0.00;5935.26;-365.67;6300.93;-74.80;7050.00;1040.00;0.00;46.50;4;13;buy;ROKU;5.00;96.92
2025-02-14;13:36:14;0.00;0;2.00;0.00;0.00;5933.26;-863.67;6796.93;-76.80;7050.00;1040.00;0.00;48.50;4;14;buy;GRAB;100.00;4.96
2025-02-14;13:38:41;0.00;0;2.00;0.00;0.00;5931.26;-1378.63;7309.89;-78.80;7050.00;1040.00;0.00;50.50;4;15;buy;HOOD;8.00;64.12
2025-02-14;15:22:24;8.75;0;2.00;0.00;0.00;5942.01;-1071.78;7013.79;-68.05;7050.00;1040.00;0.00;52.50;5;14;sell;HIMS;5.00;61.77
2025-02-14;15:23:49;3.20;0;2.00;0.00;0.00;5947.21;-553.62;6500.83;-62.85;7050.00;1040.00;0.00;54.50;6;13;sell;HOOD;8.00;65.02
2025-02-14;15:40:58;0.00;0;2.00;0.00;0.00;5945.21;-1112.87;7058.08;-64.85;7050.00;1040.00;0.00;56.50;6;14;buy;AGI;25.00;22.29
2025-02-14;15:42:21;0.00;0;2.00;0.00;0.00;5943.21;-1751.35;7694.56;-66.85;7050.00;1040.00;0.00;58.50;6;15;buy;UBER;8.00;79.56
2025-02-17;00:00:00;0.00;0;0.00;3000.00;0.00;8943.21;1248.65;7694.56;-66.85;10050.00;1040.00;0.00;58.50;6;15;deposit;;3000.00;1.00
2025-02-18;09:51:04;39.29;0;2.00;0.00;0.00;8984.50;2004.00;6980.50;-25.56;10050.00;1040.00;0.00;60.50;7;14;sell;TEM;9.00;84.15
2025-02-18;09:55:25;29.10;0;2.00;0.00;0.00;9015.85;2591.40;6424.45;0.00;10050.00;1040.00;0.00;62.50;9;14;sell;SOFI;35.00;16.84
2025-02-18;09:55:46;14.52;0;2.00;0.00;0.00;9032.87;2790.55;6242.32;0.00;10050.00;1040.00;0.00;64.50;11;14;sell;WRD;5.00;40.23
2025-02-18;09:59:17;-14.00;0;2.00;0.00;0.00;9020.87;2883.55;6137.32;-12.00;10050.00;1040.00;0.00;66.50;12;13;sell;INVZ;100.00;0.95
2025-02-18;15:52:13;0.00;0;2.00;0.00;0.00;9018.87;2294.63;6724.24;-14.00;10050.00;1040.00;0.00;68.50;12;14;buy;OXY;12.00;48.91
2025-02-19;10:08:26;0.00;0;2.00;0.00;0.00;9016.87;2190.66;6826.21;-16.00;10050.00;1040.00;0.00;70.50;12;14;buy;WRD;3.00;33.99
2025-02-19;10:13:23;0.00;0;2.00;0.00;0.00;9014.87;1651.06;7363.81;-18.00;10050.00;1040.00;0.00;72.50;12;15;buy;COMP;60.00;8.96
2025-02-19;15:28:43;0.00;0;2.00;0.00;0.00;9012.87;819.86;8193.01;-20.00;10050.00;1040.00;0.00;74.50;12;16;buy;MSFT;2.00;414.60
2025-02-20;11:48:33;0.00;0;2.00;0.00;0.00;9010.87;244.26;8766.61;-22.00;10050.00;1040.00;0.00;76.50;12;16;buy;ORLA;80.00;7.17
2025-02-21;09:48:24;23.18;0;2.00;0.00;0.00;9035.05;548.93;8486.12;0.00;10050.00;1040.00;0.00;78.50;13;16;sell;NBIS;7.00;43.81
2025-02-21;09:49:48;-16.80;0;2.00;0.00;0.00;9020.25;1107.73;7912.52;-14.80;10050.00;1040.00;0.00;80.50;14;16;sell;ORLA;80.00;7.01
2025-02-21;09:52:03;114.03;0;2.00;0.00;0.00;9135.28;1535.36;7599.92;0.00;10050.00;1040.00;0.00;82.50;15;16;sell;BABA;3.00;143.21
2025-02-21;09:52:19;-2.08;0;2.00;0.00;0.00;9134.20;1948.88;7185.32;-1.08;10050.00;1040.00;0.00;84.50;16;16;sell;MSFT;1.00;415.52
